day=1 max=17443 idx=8 scores=[8307, 14860, 16116, 5631, 11070, 13531, 11627, 15274, 17443, 10558, 10171, 1751, 8445, 7677, 16919, 16810, 9119, 15123, 2245, 12109, -219, 6309, 12590, -1060, 10895, 15585]
day=2 max=17152 idx=7 scores=[7319, 7559, 738, -29, 17066, 15952, 4789, 17152, -697, 5029, 12549, 2801, 1847, 6761, 8317, 14472, 4359, -1580, -2387, 7468, 1999, 4168, 8100, 5461, 9369, 16244]
day=3 max=14567 idx=14 scores=[355, 8157, 4537, 9834, 12343, 9995, 13711, 7011, 8543, 8042, 8006, 10965, 10043, -2938, 14567, 12859, 13601, 8841, 11627, 13393, 3573, 11900, 302, 5023, -2309, 9597]
day=4 max=14635 idx=7 scores=[-1843, -4545, 13746, -961, 12746, 2334, 12139, 14635, 9260, 1811, 5565, -3477, 966, 2700, 12336, 5897, 9076, 4753, 14262, 7603, -184, -4490, 3078, 1270, 12139, 12296]
day=5 max=13409 idx=17 scores=[-4263, -4342, 8027, 12525, -978, -5999, -5035, 12812, -863, 8988, 12255, 5232, 101, 8737, 7777, 7262, 11806, 13409, 10278, 718, 11028, -2329, 7071, -3457, -118, 12491]
day=6 max=11820 idx=14 scores=[6183, 4203, -3028, -3039, 7060, 957, 1001, 3638, -3439, 1995, 1918, 7369, -5369, 10593, 11820, -5977, 8296, 5748, -84, 10509, -2006, 2587, 7571, 2124, -3428, 4578]
day=7 max=10391 idx=1 scores=[-1901, 10391, 2936, -6714, -8162, 4544, -3453, 8452, 193, 1373, -955, -7371, 9101, -5887, 44, 9925, 2408, 6277, 4130, 1304, 4505, -4772, -3209, 3809, -2537, 4008]
day=8 max=9304 idx=14 scores=[-8629, 1654, -3312, -2290, -9763, 6106, 8741, 1452, -8936, 7974, 6180, -6423, 7077, 4082, 9304, -4863, 6266, -8024, -4597, -5576, 5654, -5806, -1180, -1398, -9465, 8579]
day=9 max=8907 idx=6 scores=[-8407, -4196, 116, -3988, -7953, -3967, 8907, -5046, -4784, 8178, 7186, -9708, -1147, 6600, 7493, -1460, -6839, 4619, -10551, 7784, 2554, -9725, -921, 3430, -7724, -5386]
day=10 max=6702 idx=12 scores=[1540, -3033, -5599, 964, -10359, -2411, -10115, 4177, 6180, 1431, -3933, 4851, 6702, -1166, -8898, -1597, 2763, 6352, -64, -5016, -7503, 2822, 2973, -11234, -8308, -5061]
day=11 max=6265 idx=25 scores=[-176, -6778, -992, -12414, -11158, -1774, -52, -317, -11042, 3254, -4147, -9, -1938, 351, 633, -114, 5008, -11540, -2644, -7805, 2037, 5784, -851, -12463, -4759, 6265]
day=12 max=5919 idx=17 scores=[718, 4590, -11750, -4566, -3112, -4052, -6625, 3489, -11061, -13151, -1311, -8126, -543, 598, 2747, 729, -6540, 5919, 2241, -6081, 2277, -3220, 3565, -1494, 564, 3536]
day=13 max=4758 idx=3 scores=[-13544, -7955, -14150, 4758, -7607, -7624, -4204, -6081, -1180, 2445, -5716, 1197, 567, -15206, -3645, -14500, -5207, 1003, -13261, -10949, -11534, -7870, -128, -6860, -2376, -531]
day=14 max=2811 idx=10 scores=[-5422, -7608, -3404, -800, -2362, -16115, -14703, -6633, -10772, -7525, 2811, -16482, 2316, -9797, -9530, -12020, -9347, -11487, -9476, -11254, -4459, -5099, -6130, -2007, -12157, -2653]
day=15 max=1190 idx=20 scores=[-13111, -16069, -3853, -1853, -16942, -4877, -8439, -1745, -11282, -6041, -16394, -1139, -10092, -12817, -2692, -2144, -11704, -10286, -24, -5657, 1190, -9165, -16347, -17045, -15885, -13440]
day=16 max=-398 idx=0 scores=[-398, -17727, -11829, -12903, -3100, -7889, -7131, -9401, -7677, -18078, -4131, -9362, -6097, -9204, -17671, -9331, -2027, -16083, -17503, -6451, -11468, -10955, -6571, -17439, -8761, -8657]
day=17 max=-983 idx=3 scores=[-18323, -5616, -12732, -983, -2000, -14916, -11235, -8857, -18253, -9040, -14106, -7181, -4435, -3435, -4173, -17956, -9093, -1459, -4608, -8190, -18965, -1542, -10337, -1335, -11820, -15893]
day=18 max=-1899 idx=13 scores=[-16706, -9829, -12098, -3061, -18032, -8696, -6199, -4981, -13065, -1982, -12795, -10527, -6993, -1899, -19290, -15160, -4843, -5566, -6611, -12852, -15215, -20081, -19277, -5790, -18875, -2178]
day=19 max=-2159 idx=1 scores=[-4652, -2159, -17244, -20007, -13714, -17496, -3417, -8348, -14398, -11404, -12950, -10570, -20355, -6075, -9318, -4922, -4480, -21772, -15731, -17266, -10729, -15937, -18272, -17583, -10380, -7701]
day=20 max=-5619 idx=5 scores=[-6414, -17170, -22251, -12925, -21021, -5619, -5867, -19454, -11495, -7849, -11487, -21284, -24295, -16407, -7350, -20670, -18616, -21125, -21083, -15201, -24010, -12129, -23204, -7203, -12350, -20191]
day=21 max=-6050 idx=19 scores=[-15900, -11379, -23086, -13398, -22164, -8947, -7475, -18383, -8893, -12434, -12601, -21203, -8894, -9131, -13737, -21993, -14239, -22592, -10744, -6050, -14794, -8060, -19142, -7153, -6519, -11364]
day=22 max=-7032 idx=6 scores=[-10953, -7614, -27022, -17908, -15719, -18634, -7032, -19967, -8278, -18509, -25412, -12026, -12495, -24480, -20604, -15563, -7355, -17794, -13870, -24475, -25461, -12152, -16545, -16158, -19249, -13668]
day=23 max=-8758 idx=18 scores=[-10248, -16761, -23575, -23628, -11848, -22188, -18679, -18678, -20136, -14756, -13033, -10176, -18367, -14600, -26328, -19427, -11531, -18919, -8758, -20231, -26333, -28241, -11702, -13770, -15486, -14785]
day=24 max=-8317 idx=1 scores=[-14801, -8317, -15608, -13145, -13433, -28152, -13079, -18884, -16505, -19144, -19987, -18372, -16337, -24758, -15666, -19876, -17100, -15686, -23398, -19809, -14290, -26757, -22907, -28580, -24325, -21881]
day=25 max=-10341 idx=6 scores=[-27367, -21089, -17087, -25658, -27391, -26906, -10341, -17288, -21022, -21099, -13087, -14146, -13768, -19289, -10653, -11032, -18137, -12496, -20534, -17608, -24672, -17118, -12139, -20584, -17045, -17530]
day=26 max=-11971 idx=20 scores=[-25805, -21253, -19024, -22514, -27728, -13800, -24581, -29481, -30918, -24117, -17007, -30132, -23088, -31231, -28701, -26022, -26992, -27059, -30216, -30052, -11971, -13961, -13545, -24648, -12598, -31561]
day=27 max=-12221 idx=10 scores=[-18945, -14473, -23911, -21584, -32991, -15989, -22843, -24057, -24512, -12938, -12221, -26727, -20468, -20622, -12946, -12878, -31859, -27980, -21853, -14327, -15925, -30314, -20614, -25322, -14787, -23958]
day=28 max=-13263 idx=10 scores=[-30956, -26218, -23416, -19749, -23921, -15349, -14693, -14419, -13807, -20318, -13263, -22622, -17829, -33492, -25290, -21903, -28873, -18514, -20727, -23438, -20372, -16930, -30909, -30740, -21829, -30589]
day=29 max=-16204 idx=17 scores=[-18135, -32222, -26088, -31373, -34535, -19841, -19918, -18224, -34205, -18372, -23248, -29211, -22098, -25650, -18694, -18441, -32737, -16204, -17742, -28956, -29807, -18783, -22105, -27046, -20645, -33694]
day=30 max=-15057 idx=17 scores=[-28004, -16138, -35510, -16181, -19415, -27448, -23886, -17108, -27100, -22703, -21640, -28265, -20578, -18724, -16936, -25077, -36159, -15057, -31318, -25056, -27470, -27702, -17296, -19512, -24362, -35647]
day=31 max=-18524 idx=5 scores=[-28383, -25046, -20095, -24795, -23084, -18524, -35421, -19646, -22270, -32430, -29717, -20570, -29931, -30081, -35077, -23337, -32407, -23575, -25133, -22964, -28951, -23264, -25245, -19886, -23996, -33105]
day=32 max=-18437 idx=10 scores=[-34479, -23228, -34705, -31277, -32597, -33553, -31810, -28920, -37671, -19990, -18437, -30881, -36046, -23629, -23821, -31532, -20710, -34161, -34345, -23893, -29054, -36820, -27481, -31416, -21199, -29495]
day=33 max=-18260 idx=19 scores=[-39779, -23745, -25945, -18615, -31413, -23217, -29312, -20942, -26823, -21452, -19865, -26791, -34674, -37479, -35773, -27898, -34368, -19081, -24450, -18260, -25817, -38948, -21384, -22275, -36453, -27178]
day=34 max=-23110 idx=2 scores=[-37660, -23552, -23110, -29690, -32951, -29657, -36716, -30023, -39133, -26667, -23713, -28393, -41687, -40086, -24471, -39510, -26663, -33693, -23665, -35282, -23796, -32685, -34507, -27965, -27675, -38756]
day=35 max=-21852 idx=10 scores=[-27758, -31965, -39739, -27268, -40668, -42877, -36712, -24895, -41131, -24360, -21852, -35792, -26016, -33253, -30787, -23498, -31122, -39544, -25382, -31252, -25770, -41102, -30146, -32997, -40101, -27642]
day=36 max=-22987 idx=15 scores=[-30793, -30486, -41733, -34115, -37459, -32100, -36902, -37861, -36585, -31540, -41089, -25885, -35387, -39871, -39262, -22987, -35735, -29461, -38680, -27886, -42373, -39003, -32876, -30879, -34959, -37269]
day=37 max=-26367 idx=0 scores=[-26367, -35640, -40360, -28866, -31294, -28089, -33626, -31351, -38415, -38938, -29736, -36773, -28217, -27374, -31269, -38778, -45171, -39744, -28990, -35504, -39851, -42557, -38153, -32940, -28493, -41684]
day=38 max=-24623 idx=14 scores=[-39458, -29103, -29796, -27423, -34881, -29601, -39374, -29628, -32959, -43889, -36509, -27232, -35740, -30026, -24623, -33084, -37594, -38109, -39252, -27643, -26188, -40260, -31700, -28030, -34742, -44685]
day=39 max=-27131 idx=23 scores=[-47398, -37298, -35440, -31787, -48165, -42634, -43985, -35831, -43768, -39680, -39236, -43610, -38823, -30356, -32658, -36458, -36912, -36892, -28265, -38101, -28764, -36992, -29939, -27131, -45422, -37383]
day=40 max=-29589 idx=5 scores=[-39603, -41321, -36311, -38861, -44873, -29589, -30921, -31866, -29829, -38631, -41239, -37774, -31043, -47247, -35466, -43199, -38138, -39157, -46041, -40679, -33937, -49021, -31440, -45666, -46209, -42398]
day=41 max=-28218 idx=14 scores=[-45358, -31696, -47078, -45629, -45010, -38191, -48636, -44873, -33280, -46605, -39404, -42873, -40012, -29363, -28218, -47166, -46595, -39453, -48593, -46659, -44164, -35391, -29396, -40447, -35160, -49453]
day=42 max=-30349 idx=10 scores=[-51149, -30813, -50286, -46990, -49224, -44104, -39361, -46890, -32272, -44677, -30349, -48353, -44740, -45774, -47837, -31219, -36784, -42742, -47385, -34287, -32065, -34846, -36502, -40575, -42317, -50480]
